2025-06-16 13:43:42 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 3000, 'elapsed_time': 12.37051796913147, 'iter_per_sec': 242.51209518983347, 'total_iter_per_sec': 242.51207649396665, 'memory_gb': 0.0676116943359375, 'cpu_percent': 0.0, 'num_info_states': 9833, 'num_regrets': 35, 'pruning_active': False, 'discount_active': True}
2025-06-16 13:43:55 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 6000, 'elapsed_time': 25.40899109840393, 'iter_per_sec': 230.08829103346076, 'total_iter_per_sec': 236.13688464698194, 'memory_gb': 0.06765365600585938, 'cpu_percent': 0.0, 'num_info_states': 13183, 'num_regrets': 78, 'pruning_active': False, 'discount_active': True}
2025-06-16 13:44:08 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 9000, 'elapsed_time': 38.4096839427948, 'iter_per_sec': 230.75693241182495, 'total_iter_per_sec': 234.31590880581282, 'memory_gb': 0.067657470703125, 'cpu_percent': 0.0, 'num_info_states': 14700, 'num_regrets': 117, 'pruning_active': False, 'discount_active': True}
2025-06-16 13:44:22 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 12000, 'elapsed_time': 52.49979591369629, 'iter_per_sec': 212.91527038220258, 'total_iter_per_sec': 228.572317113892, 'memory_gb': 0.06768417358398438, 'cpu_percent': 0.0, 'num_info_states': 15419, 'num_regrets': 150, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:44:37 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 15000, 'elapsed_time': 67.16442322731018, 'iter_per_sec': 204.5738998914042, 'total_iter_per_sec': 223.3325215826576, 'memory_gb': 0.06768798828125, 'cpu_percent': 0.0, 'num_info_states': 15836, 'num_regrets': 185, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:44:52 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 18000, 'elapsed_time': 81.86322617530823, 'iter_per_sec': 204.09825280422547, 'total_iter_per_sec': 219.8789473731882, 'memory_gb': 0.06768798828125, 'cpu_percent': 0.0, 'num_info_states': 16072, 'num_regrets': 217, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:45:07 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 21000, 'elapsed_time': 96.89425992965698, 'iter_per_sec': 199.58707092464914, 'total_iter_per_sec': 216.73110476560242, 'memory_gb': 0.06768798828125, 'cpu_percent': 0.0, 'num_info_states': 16287, 'num_regrets': 250, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:45:22 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 24000, 'elapsed_time': 111.80650401115417, 'iter_per_sec': 201.17696462079363, 'total_iter_per_sec': 214.65656414411887, 'memory_gb': 0.06769180297851562, 'cpu_percent': 0.0, 'num_info_states': 16399, 'num_regrets': 285, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:45:37 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 27000, 'elapsed_time': 126.88616490364075, 'iter_per_sec': 198.94346573103294, 'total_iter_per_sec': 212.78915648923746, 'memory_gb': 0.06769561767578125, 'cpu_percent': 0.0, 'num_info_states': 16496, 'num_regrets': 323, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:45:54 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 30000, 'elapsed_time': 144.13104104995728, 'iter_per_sec': 173.96471708732997, 'total_iter_per_sec': 208.1439208477076, 'memory_gb': 0.07216644287109375, 'cpu_percent': 0.0, 'num_info_states': 16555, 'num_regrets': 358, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:46:10 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 33000, 'elapsed_time': 160.43407011032104, 'iter_per_sec': 184.01488391464972, 'total_iter_per_sec': 205.6919703982318, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16611, 'num_regrets': 390, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:46:26 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 36000, 'elapsed_time': 175.74342012405396, 'iter_per_sec': 195.95867867080688, 'total_iter_per_sec': 204.84408448742082, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16667, 'num_regrets': 427, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:46:41 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 39000, 'elapsed_time': 191.1974720954895, 'iter_per_sec': 194.12384567782232, 'total_iter_per_sec': 203.97759223784234, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16709, 'num_regrets': 461, 'pruning_active': True, 'discount_active': True}
2025-06-16 13:46:56 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 42000, 'elapsed_time': 206.49790906906128, 'iter_per_sec': 196.07283146107895, 'total_iter_per_sec': 203.39188996801656, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16732, 'num_regrets': 502, 'pruning_active': True, 'discount_active': False}
2025-06-16 13:47:12 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 45000, 'elapsed_time': 222.14878511428833, 'iter_per_sec': 191.68256085670623, 'total_iter_per_sec': 202.56694168662216, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16756, 'num_regrets': 530, 'pruning_active': True, 'discount_active': False}
2025-06-16 13:47:28 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 48000, 'elapsed_time': 237.7808198928833, 'iter_per_sec': 191.91359554214375, 'total_iter_per_sec': 201.86657620923035, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16782, 'num_regrets': 558, 'pruning_active': True, 'discount_active': False}
2025-06-16 13:47:44 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 51000, 'elapsed_time': 253.73602104187012, 'iter_per_sec': 188.02646058714873, 'total_iter_per_sec': 200.996294458264, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16817, 'num_regrets': 592, 'pruning_active': True, 'discount_active': False}
2025-06-16 13:47:59 - Arivs-MacBook-Pro.local - MainProcess[19362] - INFO - performance - METRICS: {'iteration': 54000, 'elapsed_time': 269.6478261947632, 'iter_per_sec': 188.53926196139622, 'total_iter_per_sec': 200.26121019420526, 'memory_gb': 0.0868072509765625, 'cpu_percent': 0.0, 'num_info_states': 16854, 'num_regrets': 617, 'pruning_active': True, 'discount_active': False}
